Entidad Crediticia;Mes de Registro;Tipo de Tarjeta;Membres¡a Anual Tarjeta principal;Membres¡a Anual Tarjeta Adicional;Cargo por Perdida o Robada (B/.);Cargo por Deterioro (B/.);Tasa de inter‚s                                                                                                                                                                                                                                                                                                   Nominal Anual (%);L¡mite de Cr‚dito Inferior (B/.);L¡mite de Cr‚dito Superior;Costo de Seguro Contra Fraude (B/.) ;Desgravamen;Fecha de Corte;Fecha de Pago;Pago                                                                                                                                                                                                                                                                                                                                            M¡nimo Mensual (B/.);Pagos                                                                                                                                                                                                                                                                                Atrasados (B/.);Sobregiro (B/.);Adelanto de Dinero en Efectivo (B/.)
THE BANK OF NOVA SCOTIA;45413;Visa Platinum LifeMiles Real ;150;35;0;0;"Tasa minima 6%, 
Tasa promedio 15% ";2000;50000;4.5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
THE BANK OF NOVA SCOTIA;45413;Visa Infinite LifeMiles ;215;35;0;0;"Tasa minima 6%, 
Tasa promedio 12% ";5000;50000;5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
TOWERBANK INTERNATIONAL BANK, INC.;45413;VISA Cl sica Local;60;20;30;0;22;1000;n/a;5;1.85 por cada mil de saldo adeudado ;19 de cada mes;12 de cada mes;3% m¡nimo $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45413;VISA Cl sica Extranjera;60;20;30;0;22;1000;n/a;5;1.85 por cada mil de saldo adeudado ;19 de cada mes;12 de cada mes;3% m¡nimo $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45413;VISA Cl sica Corporativa;60;20;30;0;22;1000;n/a;5;n/a;19 de cada mes;12 de cada mes;3% m¡nimo $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45413;VISA Magic Dreams Cl sica;75;30;30;0;22;500;n/a;5;1.85 por cada mil de saldo adeudado ;19 de cada mes;12 de cada mes;3% m¡nimo $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45413;VISA Gold Local y Extranjera;90;25;30;0;19;5000;n/a;6;1.85 por cada mil de saldo adeudado ;19 de cada mes;12 de cada mes;3% m¡nimo $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45413;VISA Gold Corporativa;90;25;30;0;19;5000;n/a;6;n/a;19 de cada mes;12 de cada mes;3% m¡nimo  $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45413;VISA Empresarial;125;50;30;0;18;5000;n/a;7;n/a;19 de cada mes;12 de cada mes;5% m¡nimo $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45413;VISA Magic Dreams Gold;75;30;30;0;18;5000;n/a;7;1.85 por cada mil de saldo adeudado ;19 de cada mes;12 de cada mes;3% m¡nimo  $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45413;VISA Infinite;210;50;30;0;14;10000;n/a;9.00 Hasta 25K y 12 hasta 50k;1.85 por cada mil de saldo adeudado ;19 de cada mes;12 de cada mes;3% m¡nimo  $25.00;75;60;5% m¡nimo $25.00
BANCO ALIADO, S.A.;45505;Visa Gold;70;20;20;Gratis;0.22;400;4999;3.85;  $.2.50 por  millar mas 5% de impuesto ;5 de cada mes;30 de cada mes;0.03;5% del saldo o m ximo B/. 40.00;30;10% min $10.00
BANCO ALIADO, S.A.;45505;Visa Platinum;90;25;20;Gratis;0.2;5000;9999;4.5;;5 de cada mes;30 de cada mes;0.03;5% del saldo o m ximo B/. 45.00;40;10% min $10.00
BANCO ALIADO, S.A.;45505;Visa Infinite;120;30;20;Gratis;0.18;10000;100000;7;;5 de cada mes;30 de cada mes;0.03;5% del saldo o m ximo B/. 50.00;50;10% min $10.00
BANCO ALIADO, S.A.;45505;Visa Corporate   ;100;100;20;Gratis;0.22;1000;En Adelante;7;N/A;30 de cada mes;25 de cada mes;0.03;50;50;10% min $10.00
BANCO ALIADO, S.A.;45505;Visa Prepago ;25;25;20;Gratis;N/A;N/A;N/A;3.5;N/A;25 de cada mes;N/A;N/A;N/A;N/A;5
BAC INTERNATIONAL BANK, INC.;45505;Visa/MasterCard/BAC ;40;25;50;20;0.2796;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;15;15;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;SmartCash Cl sica American Express;$7 por mes o sin cargo mensual si realiza 5 transacciones de compras al mes. ;Gratis;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;SmartCash Cl sica American Express;$60.00;35;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Panafoto de American Express Punch;$7 por mes o sin cargo mensual si realiza 5 transacciones de compras al mes. ;Gratis;50;20;0.2508;400;En adelante;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;MasterCard Panafoto Punch;$7 por mes o sin cargo mensual si realiza 7 transacciones de compras al mes. ;Gratis;50;20;0.2508;400;En adelante;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Panafoto American Express ;$60.00;35;50;20;0.2508;400;En adelante;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;MasterCard Panafoto;$60.00;35;50;20;0.2508;400;En adelante;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Visa / Mastercard SmartCash Cl sica Punch;$7 por mes o sin cargo mensual si realiza 7 transacciones de compras al mes. ;Gratis ;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Visa SmartCash ;$75.00;20;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505; PriceSmart Visa Platinum (baja);Gratis;Gratis;50;20;0.2508;400;1900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505; PriceSmart Visa Platinum (alta);Gratis;Gratis;50;20;0.2352;2000;En adelante;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;"American Express  Destiny Dorado
";$ 95.00;Gratis 1er a¤o;50;20;0.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;American Express Dorada ConnectMiles;"

$95
Gratis 1er a¤o";Gratis 1er a¤o;50;20;0.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Visa Platino ConnectMiles;95;Gratis 1er a¤o;50;20;0.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;American Express Blue Centurion;10 trans ¢ B/.10.00;Gratis;50;20;0.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;31 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;51;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;American Express LifeMiles Dorada;"$ 95.00
1er a¤o gratis";Gratis 1er a¤o;50;20;0.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Credomatic /AAdvantage MasterCard/American Express Gold;$ 95.00;Gratis 1er a¤o;50;20;0.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;MasterCard SmartCash Platinum;$8 por mes o sin cargo mensual si realiza 7 transacciones de compras al mes. ;Gratis;50;20;0.2453;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Gold American Express;95;Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Visa / Mastercard SmartCash Platinum Elite;$10 por mes o sin cargo mensual si realiza 10 transacciones de compras al mes. ;Gratis ;50;20;0.2352;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;"American Express  Destiny Platino
";"$120
";Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;American Express Platinum  ConnectMiles de BAC;"$95
Gratis 1er a¤o";Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Visa Platinum Elite ConnectMiles de BAC ;95;Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505; MasterCard Unlimited Platino;95;Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;MasterCard LifeMiles Platino ;$ 95.00;Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505; American Express LifeMiles Platino Elite ;"$ 150.00
Gratis 1 er a¤o";Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;MasterCard LifeMiles Platino Elite ;150;Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Credomatic /AAdvantage MasterCard/American Express Platino;175;Gratis;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505; MasterCard Unlimited Black;150;Gratis;50;20;0.1692;10000;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;American Express Black Destiny ;$150.00;Gratis;50;20;0.1692;10000;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;American Express Black ConnectMiles de BAC ;"$150.00
Gratis 1er a¤o";Gratis;50;20;0.1692;10000;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Visa Infinite ConnectMiles de BAC ;$150.00;Gratis;50;20;0.1692;10000;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;The Platinum Card American Express;300;$95;50;20;0.1692;20000;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;American Express LifeMiles Black ;"$ 150.00
Gratis 1er a¤o";Gratis;50;20;0.1692;10000;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;MasterCard  LifeMiles Black ;$ 150.00;Gratis;50;20;0.1692;10000;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Credomatic /AAdvantage MasterCard/American Express Black;$ 250.00;Gratis;50;20;0.1692;10000;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Incae MasterCard Black de BAC ;Gratis;Gratis;50;20;0.1692; $10,000.00;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Visa Business PriceSmart;Gratis;Gratis;50;20;0.2042;1000;En adelante;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Visa, Master Card y American Express  BAC Business ;$ 95.00;$ 45.00;50;20;0.2042;1000;En adelante;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Bac Visa Empresario;$ 60.00;25;50;20;0.2292;1000;En adelante;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Visa ConnectMiles Empresarial/American Express ConnectMiles Business;150;150;50;20;0.2042;1000;En adelante;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Bac MasterCard Corporate Plus ;150;150;50;20;0.185;1000;En adelante;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45505;Bac MasterCard Corporate ;$ 95.00;$ 45.00;50;20;0.185;1000;En adelante;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
